ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards,Boundaries - ZIP Codes,Police Districts,Police Beats
12934963,JF525318,11/15/2022 12:00:00 AM,058XX S MORGAN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0712,007,16,68,07,1170636,1866288,2022,01/03/2023 03:40:27 PM,41.78857464,-87.649878179,"(41.78857464, -87.649878179)",19,21559,66,113,2,11,17,261
12838100,JF408216,09/23/2022 08:45:00 PM,076XX S ESSEX AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,false,true,0421,004,7,43,04A,1194190,1854728,2022,01/03/2023 03:40:27 PM,41.756306932,-87.563894781,"(41.756306932, -87.563894781)",43,22538,39,245,37,24,19,225
12675473,JF213466,04/20/2022 08:30:00 AM,050XX S CICERO AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APPLIANCE STORE,false,false,0814,008,22,56,08A,1145211,1870819,2022,01/03/2023 03:40:27 PM,41.80152523,-87.742989374,"(41.80152523, -87.742989374)",35,22248,53,606,28,7,13,112
12807668,JF372865,08/27/2022 06:40:00 PM,053XX S HYDE PARK BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0234,002,5,41,14,1188556,1870311,2022,01/03/2023 03:40:27 PM,41.799204348,-87.584044296,"(41.799204348, -87.584044296)",32,21192,8,501,33,10,24,122
12685436,JF225557,04/17/2022 04:30:00 PM,061XX S ELIZABETH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0713,007,16,67,07,1169010,1864148,2022,01/03/2023 03:40:27 PM,41.78273754,-87.655901945,"(41.78273754, -87.655901945)",19,22257,65,278,2,23,17,266
12670144,JF207073,04/13/2022 07:20:00 PM,047XX N ALBANY AVE,0485,BATTERY,AGGRAVATED OF A CHILD,APARTMENT,true,true,1713,017,33,14,04B,1154855,1931357,2022,01/03/2023 03:40:27 PM,41.967460313,-87.705997821,"(41.967460313, -87.705997821)",2,21849,14,258,20,20,1,1
12913445,JF498488,12/04/2022 02:27:00 PM,003XX W ERIE ST,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,1831,018,42,8,06,1174072,1904721,2022,01/03/2023 03:40:27 PM,41.89396227,-87.636135749,"(41.89396227, -87.636135749)",22,4446,37,652,36,55,14,73
12823153,JF388764,09/08/2022 10:05:00 PM,134XX S AVENUE M,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0433,004,10,55,08B,1201758,1816513,2022,01/03/2023 03:40:27 PM,41.65125265,-87.537454574,"(41.65125265, -87.537454574)",47,22250,52,787,47,26,19,259
12865162,JF441619,10/19/2022 04:00:00 AM,015XX W MONROE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),false,false,1224,012,28,28,08A,1166212,1899641,2022,01/03/2023 03:40:27 PM,41.880194,-87.665148099,"(41.880194, -87.665148099)",48,14917,29,91,23,44,15,92
12788860,JF349560,08/08/2022 07:45:00 PM,015XX N CENTRAL AVE,0560,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,2531,025,29,25,08A,1138712,1909741,2022,01/03/2023 03:40:27 PM,41.908452786,-87.765880756,"(41.908452786, -87.765880756)",52,4299,26,565,7,5,6,154
12790697,JF352764,08/11/2022 12:01:00 PM,004XX E 46TH PL,0460,BATTERY,SIMPLE,APARTMENT,false,false,0221,002,3,38,08B,1179906,1874283,2022,01/03/2023 03:40:27 PM,41.810306387,-87.615643951,"(41.810306387, -87.615643951)",12,4301,4,447,9,36,24,114
12923700,JF511412,12/15/2022 11:20:00 AM,023XX N KEDVALE AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE,false,true,2525,025,35,20,26,1148328,1915262,2022,11/15/2023 03:41:31 PM,41.923422944,-87.730413365,"(41.923422944, -87.730413365)",7,22615,21,463,12,2,6,187
12931035,JF520502,12/23/2022 03:05:00 AM,016XX W ERIE ST,031A,ROBBERY,ARMED - HANDGUN,STREET,false,false,1215,012,1,24,03,1165374,1904421,2022,01/03/2023 03:40:27 PM,41.893328552,-87.668089064,"(41.893328552, -87.668089064)",24,21560,25,520,41,4,15,78
12634363,JF164424,03/05/2022 04:37:00 PM,054XX S MORGAN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,false,false,0934,009,20,61,15,1170568,1868823,2022,01/03/2023 03:40:27 PM,41.795532448,-87.650053635,"(41.795532448, -87.650053635)",53,14924,59,791,4,37,23,127
12764219,JF321307,07/17/2022 03:30:00 PM,015XX W CARROLL AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,1215,012,27,28,06,1165919,1902264,2022,01/03/2023 03:40:27 PM,41.887397971,-87.666149079,"(41.887397971, -87.666149079)",41,14917,29,63,46,44,15,78
12584782,JF103627,01/04/2022 09:10:00 PM,110XX S RACINE AVE,1480,CONCEALED CARRY LICENSE VIOLATION,OTHER,STREET,true,false,2234,022,34,75,15,1170289,1831697,2022,01/03/2023 03:40:27 PM,41.693659731,-87.652154447,"(41.693659731, -87.652154447)",45,22212,74,315,22,13,9,263
12638346,JF169204,03/09/2022 03:30:00 PM,018XX S PAULINA ST,0810,THEFT,OVER $500,STREET,false,false,1234,012,25,31,06,1165334,1890986,2022,01/03/2023 03:40:27 PM,41.856462646,-87.668618091,"(41.856462646, -87.668618091)",8,14920,33,343,26,43,15,121
12754536,JF309508,07/07/2022 09:00:00 AM,046XX N PULASKI RD,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,1722,017,39,14,10,1148885,1930759,2022,01/03/2023 03:40:27 PM,41.96593721,-87.727964573,"(41.96593721, -87.727964573)",28,21869,14,257,38,48,1,11
12584308,JF103120,01/04/2022 09:25:00 AM,088XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0632,006,8,44,08A,1183106,1846601,2022,01/03/2023 03:40:27 PM,41.734270419,-87.604767009,"(41.734270419, -87.604767009)",31,21546,40,407,35,61,20,241
12859410,JF434809,10/14/2022 08:00:00 PM,023XX W JACKSON BLVD,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,CHA PARKING LOT / GROUNDS,false,true,1225,012,27,28,07,1160842,1898642,2022,01/03/2023 03:40:27 PM,41.877565688,-87.684893829,"(41.877565688, -87.684893829)",48,21184,29,766,46,28,15,139
12878437,JF457465,11/01/2022 07:00:00 AM,033XX S WABASH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),false,false,0211,002,3,35,07,1177271,1882897,2022,01/03/2023 03:40:27 PM,41.834003901,-87.625048271,"(41.834003901, -87.625048271)",12,21194,1,25,9,40,24,169
12907186,JF490921,11/28/2022 02:00:00 AM,037XX W 31ST ST,031A,ROBBERY,ARMED - HANDGUN,STREET,false,false,1031,010,22,30,03,1151752,1883786,2022,01/03/2023 03:40:27 PM,41.83698267,-87.718660579,"(41.83698267, -87.718660579)",14,21569,32,200,28,57,21,167
12591390,JF111657,01/12/2022 08:00:00 AM,021XX S DRAKE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1024,010,24,29,06,1153078,1889440,2022,01/03/2023 03:40:27 PM,41.852471794,-87.713645203,"(41.852471794, -87.713645203)",36,21569,30,157,14,57,21,130
12634286,JF164342,03/04/2022 04:42:00 PM,062XX N CLAREMONT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,2413,024,50,2,11,1159521,1941297,2022,01/03/2023 03:40:27 PM,41.994641073,-87.688566285,"(41.994641073, -87.688566285)",42,4450,20,53,27,50,11,52
12686475,JF226358,04/27/2022 04:30:00 PM,017XX N NARRAGANSETT AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2513,025,29,25,14,1133480,1910786,2022,01/03/2023 03:40:27 PM,41.911413768,-87.785076339,"(41.911413768, -87.785076339)",39,22615,26,598,7,3,6,196
12616179,JF142011,02/12/2022 07:20:00 AM,0000X E 48TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0224,002,3,38,08B,1177735,1873225,2022,01/03/2023 03:40:27 PM,41.807452616,-87.623638889,"(41.807452616, -87.623638889)",12,21192,4,448,9,10,24,107
12792070,JF354297,08/12/2022 04:00:00 PM,008XX N KEDZIE AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1121,011,27,23,08B,1154891,1905271,2022,01/03/2023 03:40:27 PM,41.895877613,-87.706566627,"(41.895877613, -87.706566627)",41,21560,24,150,46,4,15,64
12850864,JF424420,09/25/2022 09:00:00 AM,0000X N DEARBORN ST,1120,DECEPTIVE PRACTICE,FORGERY,COMMERCIAL / BUSINESS OFFICE,false,false,0112,001,42,32,10,1175938,1900468,2022,01/03/2023 03:40:27 PM,41.882249994,-87.629410745,"(41.882249994, -87.629410745)",22,14310,38,92,36,41,22,93
12901807,JF484772,11/21/2022 10:30:00 PM,003XX E SOUTH WATER ST,0890,THEFT,FROM BUILDING,BAR OR TAVERN,false,false,0114,001,42,32,06,1178979,1902046,2022,01/03/2023 03:40:27 PM,41.886511115,-87.618196037,"(41.886511115, -87.618196037)",22,14309,38,580,36,42,22,87
12633063,JF162841,03/04/2022 10:02:00 AM,060XX W GRAND AVE,0560,ASSAULT,SIMPLE,STREET,false,true,2512,025,36,19,08A,1135953,1914155,2022,01/03/2023 03:40:27 PM,41.920614966,-87.775910739,"(41.920614966, -87.775910739)",52,22615,19,77,44,2,6,183
12591873,JF112174,01/14/2022 01:42:00 AM,028XX N SHEFFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1933,019,44,6,08B,1169119,1919247,2022,01/03/2023 03:40:27 PM,41.933931433,-87.653903758,"(41.933931433, -87.653903758)",38,4449,57,681,25,22,5,31
12875881,JF454311,10/29/2022 03:59:00 PM,075XX S STEWART AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0623,006,6,69,08B,1174930,1855016,2022,01/03/2023 03:40:27 PM,41.757548256,-87.634469566,"(41.757548256, -87.634469566)",17,21554,67,495,32,59,20,228
12677607,JF216244,04/22/2022 04:05:00 PM,014XX N MILWAUKEE AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,1424,014,1,24,06,1163889,1909674,2022,01/03/2023 03:40:27 PM,41.907774636,-87.673394512,"(41.907774636, -87.673394512)",24,21560,25,482,41,4,7,200
12828465,JF396925,09/15/2022 10:35:00 AM,019XX W 33RD ST,0560,ASSAULT,SIMPLE,GROCERY FOOD STORE,false,false,0912,009,25,59,08A,1163830,1882804,2022,01/03/2023 03:40:27 PM,41.834042232,-87.674368991,"(41.834042232, -87.674368991)",26,14920,56,192,26,43,23,165
12627161,JF155709,02/15/2022 12:00:00 AM,064XX S TALMAN AVE,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),false,false,0825,008,16,66,06,1159815,1861911,2022,01/03/2023 03:40:27 PM,41.776792742,-87.689675138,"(41.776792742, -87.689675138)",44,21867,64,319,31,58,13,274
12846878,JF419397,10/02/2022 05:47:00 PM,070XX S INDIANA AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,0322,003,6,69,15,1178813,1858335,2022,01/03/2023 03:40:27 PM,41.766568512,-87.620138135,"(41.766568512, -87.620138135)",31,22260,67,514,32,60,18,211
12700701,JF244443,05/16/2022 02:04:00 PM,006XX W 87TH ST,0460,BATTERY,SIMPLE,STREET,true,false,2223,022,21,71,08B,1173720,1847115,2022,01/03/2023 03:40:27 PM,41.73589379,-87.639137647,"(41.73589379, -87.639137647)",18,21554,70,608,13,59,9,243
12842236,JF413931,09/28/2022 05:00:00 AM,044XX N BERNARD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1723,017,35,14,14,1152588,1929316,2022,01/03/2023 03:40:27 PM,41.961904923,-87.714387596,"(41.961904923, -87.714387596)",2,21849,14,24,12,20,1,9
12671086,JF208262,04/14/2022 10:40:00 PM,015XX S WABASH AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0131,001,3,33,06,1177014,1892855,2022,01/03/2023 03:40:27 PM,41.861335178,-87.625690175,"(41.861335178, -87.625690175)",12,14913,34,374,9,35,22,94
12633464,JF163373,03/04/2022 04:20:00 PM,071XX S HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,false,false,0733,007,6,68,14,1172199,1857618,2022,01/03/2023 03:40:27 PM,41.764748911,-87.644401916,"(41.764748911, -87.644401916)",31,21559,66,512,32,11,17,215
12907285,JF488659,11/26/2022 06:57:00 PM,072XX S RHODES AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0323,003,6,69,08A,1181161,1857064,2022,01/03/2023 03:40:27 PM,41.76302701,-87.611570991,"(41.76302701, -87.611570991)",31,21546,67,515,32,61,18,223
12998201,JG171196,05/01/2022 12:00:00 AM,015XX S SANGAMON ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,false,false,1232,012,11,28,11,,,2022,03/02/2023 03:41:54 PM,,,,,,,,,,,
12678809,JF217620,04/23/2022 08:06:00 PM,036XX W ROOSEVELT RD,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,true,false,1133,011,24,29,18,1152139,1894465,2022,01/03/2023 03:40:27 PM,41.866279524,-87.716959233,"(41.866279524, -87.716959233)",36,21572,30,33,14,57,21,155
12792871,JF355325,08/13/2022 12:00:00 PM,003XX W 94TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0634,006,21,49,08B,1175899,1842620,2022,01/03/2023 03:40:27 PM,41.723510411,-87.631288939,"(41.723510411, -87.631288939)",18,21554,45,187,13,59,20,242
12834071,JF404404,09/20/2022 11:02:00 PM,009XX E 104TH ST,0454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",APARTMENT,true,false,0512,005,9,50,08B,1184238,1836191,2022,01/03/2023 03:40:27 PM,41.705677782,-87.600944364,"(41.705677782, -87.600944364)",30,21861,47,254,43,19,10,256
12787413,JF348902,08/05/2022 12:00:00 AM,008XX W SHERIDAN RD,1585,SEX OFFENSE,OTHER,APARTMENT,false,false,1923,019,46,6,17,1169923,1926104,2022,01/03/2023 03:40:27 PM,41.952729796,-87.650748438,"(41.952729796, -87.650748438)",37,21186,57,83,39,53,5,12
12890747,JF471775,11/12/2022 08:00:00 AM,102XX S VERNON AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0511,005,9,49,08A,1181054,1837117,2022,01/03/2023 03:40:27 PM,41.708292565,-87.612575418,"(41.708292565, -87.612575418)",30,21861,45,570,43,19,10,250
12831924,JF401915,08/20/2022 09:00:00 AM,027XX W ESTES AVE,1120,DECEPTIVE PRACTICE,FORGERY,RESIDENCE,false,false,2411,024,50,2,10,1156774,1946980,2022,01/03/2023 03:40:27 PM,42.010291755,-87.698516036,"(42.010291755, -87.698516036)",42,22528,20,42,27,12,11,35
